preference_id,bass,mid,treble
0,0.16663194,0.55057806,0.6486953
1,0.50076205,0.4418284,0.58600587
2,0.548318,0.7470031,0.9783111
3,0.9643453,0.9383454,0.33026683
4,0.7806842,0.3590948,0.35532585
5,0.9439047,0.29225042,0.9342334
6,0.019123925,0.6169142,0.98633903
7,0.8463501,0.17720495,0.15600184
8,0.8316839,0.09916772,0.21012019
9,0.9564464,0.40255007,0.44731933
10,0.65242416,0.5323,0.36065832
11,0.28761017,0.49500054,1.0
12,0.38589668,0.7043854,0.6308217
13,0.40964165,0.9419102,0.30469722
14,0.25290948,0.80058604,0.7221376
15,0.4636305,0.80932796,0.44760427
16,0.69126564,0.4757083,0.43182942
17,0.3647772,0.2642787,0.41743773
18,0.7918881,0.34677947,0.8736122
19,0.27340278,0.5971095,0.25793195
20,0.6821666,0.29561037,0.41726938
21,0.14293194,0.6353212,0.51883394
22,0.48452088,0.73122245,0.26282805
23,0.048378777,0.2530626,0.3881817
24,0.6482471,0.13658814,0.1014976
25,0.19521295,0.31243232,0.6633218
26,0.5651048,0.3206498,0.053483494
27,0.43036613,0.5211587,0.85970443
28,0.43241987,0.47458595,0.7163417
29,0.9325908,0.7706089,0.6762106
30,0.3457885,0.33157125,0.8326845
31,0.4346826,0.84061646,0.52442497
32,0.89545524,0.3889083,0.8187237
33,0.66605264,0.23811646,0.46048754
34,0.81187224,0.8237196,0.19666055
35,0.22470002,0.18730563,0.86892843
36,0.20344737,0.007366712,0.56483823
37,0.87018585,0.88124347,0.028565438
38,0.31036648,0.8888012,0.54689413
39,0.6256622,0.37101278,0.71455514
40,0.73954576,0.91819906,0.065552816
41,0.9059947,0.03375267,0.7433548
42,0.46591905,1.0,0.5070985
43,0.40881586,0.573921,0.91938365
44,0.13807218,0.50194794,0.23088448
45,0.71076244,0.056774564,0.4499791
46,0.62202984,0.51561034,0.28494662
47,0.60958654,0.43122178,0.9595678
48,0.29646453,0.6828677,0.084829606
49,0.3523796,0.21396975,0.54739434
